EVENT,BLOCK_TIMESTAMP,TX_ID,SENDER,ROUTE,SYMBOL,TOKEN_ADDRESS,AMOUNT,AMOUNT_USD
Transfered,2022-03-23 10:48:33.000,5mgWJ31n9oDbhpYhdhPwGpwSbXA7Z82JQ4t4stuRnr93WrEGLCzaPeyGgadvs7H4CnvK7ECKHWn2Tcp4UDem3y7N,6D7fgzpPZXtDB6Zqg3xRwfbohzerbytB2U5pFchnVuzw,outbound,USDC,EPjFWdd5AufqSSqeM2qN1xzybapC8G4wEGGkZwyTDt1v,199.2,199.2
Transfered,2022-03-23 09:10:44.000,5bYS78kBwcNTWCo2FYFeuyqUTfL9K3gotVxi69Z1xB4ervy31SKcbo79w48z6ubzTmLVPghWmpngZKdeNpDjn8am,6D7fgzpPZXtDB6Zqg3xRwfbohzerbytB2U5pFchnVuzw,outbound,USDC,EPjFWdd5AufqSSqeM2qN1xzybapC8G4wEGGkZwyTDt1v,4088.59,4088.47
Transfered,2022-03-23 10:47:31.000,48FmZujgKKWYnXj1aEwnZbDtHUMZYdTCCzZuubJpTU6bW885yQwTrzMvBRAqzTkpG6UWQEBi2B8tRV2dCJFxTgxU,6D7fgzpPZXtDB6Zqg3xRwfbohzerbytB2U5pFchnVuzw,outbound,USDC,EPjFWdd5AufqSSqeM2qN1xzybapC8G4wEGGkZwyTDt1v,199.6,199.6
Transfered,2022-03-23 10:41:44.000,5GLpw9fxc7HsNAcy1Aw9d27cMb9D8uqDYPSAVrL2nMfoqSAA8MQmWsvwjNCaKxgw6BzNxRqwqWQQJvxakJ26DcoW,6D7fgzpPZXtDB6Zqg3xRwfbohzerbytB2U5pFchnVuzw,outbound,USDC,EPjFWdd5AufqSSqeM2qN1xzybapC8G4wEGGkZwyTDt1v,440.53,440.52
Transfered,2022-03-23 10:39:50.000,5quGcS1vGLQn9zJkgGhqhZR5Hg74LMwvgyNHmVTmntTrBCYUptqA4qy611xdY1CCbbMgxC6z5ULbuJp1JbxKjdqE,6D7fgzpPZXtDB6Zqg3xRwfbohzerbytB2U5pFchnVuzw,outbound,USDC,EPjFWdd5AufqSSqeM2qN1xzybapC8G4wEGGkZwyTDt1v,622.35,622.34
Transfered,2022-03-23 10:13:47.000,4oB8yiYjDuNF5ETvZVumVuNZwXtJcptSRMwdpR52ETsuoxGEn5CVhyELHbTSrvsATqHxxFFdpFUcenrMpd7U25Ft,6D7fgzpPZXtDB6Zqg3xRwfbohzerbytB2U5pFchnVuzw,outbound,USDC,EPjFWdd5AufqSSqeM2qN1xzybapC8G4wEGGkZwyTDt1v,10335.68,10335.39
Transfered,2022-03-23 09:51:43.000,4nTdbjPuGMkCT3DP8CxvnKVa9jp5hxAaGMK8kCkzgrU9CL5A1Zz7xu9kB4suUWbusMT8h75yuN3Ufi7GCc5QE61P,6D7fgzpPZXtDB6Zqg3xRwfbohzerbytB2U5pFchnVuzw,outbound,USDC,EPjFWdd5AufqSSqeM2qN1xzybapC8G4wEGGkZwyTDt1v,98953.11,98950.35
Transfered,2022-03-23 09:43:36.000,DETqBaWLwde8tSVVBFz3M5rTfdNUiQNbpHPGBf8NzcLySgvCdcDwJRdzTv8r6P1u8ocTx5Djgx2hnCzYmevEhLT,6D7fgzpPZXtDB6Zqg3xRwfbohzerbytB2U5pFchnVuzw,outbound,USDC,EPjFWdd5AufqSSqeM2qN1xzybapC8G4wEGGkZwyTDt1v,122.94,122.94
Transfered,2022-03-23 09:54:19.000,2o3ADduCS3TEMdQfcFu69wse81V2JZV2mvqNQDGvbjJxoyU5LNG6oVMMHocDsdyMPWzKyLGqG5YX7k3GDBrXvwPi,6D7fgzpPZXtDB6Zqg3xRwfbohzerbytB2U5pFchnVuzw,outbound,USDC,EPjFWdd5AufqSSqeM2qN1xzybapC8G4wEGGkZwyTDt1v,49406.33,49404.96
Transfered,2022-03-23 11:39:02.000,4bQmZjyRdbMSYUq3tPgVxyqEtjECawE8Cdh1fFn8EnfkrVoeaQZsWZwpdAVAEcJtWhjqyXrjjdEuJDnbup5RYAhZ,6D7fgzpPZXtDB6Zqg3xRwfbohzerbytB2U5pFchnVuzw,outbound,USDC,EPjFWdd5AufqSSqeM2qN1xzybapC8G4wEGGkZwyTDt1v,497.9,497.89
Transfered,2022-03-23 11:15:50.000,FbaSANgEznc7ccdLyg2cgY1G11CTsooSsoaGvYCRi7mEDeDbvGMH72YA4hWw8oy8YbPTD1FJJqPrpfuAQno4jZb,6D7fgzpPZXtDB6Zqg3xRwfbohzerbytB2U5pFchnVuzw,outbound,USDC,EPjFWdd5AufqSSqeM2qN1xzybapC8G4wEGGkZwyTDt1v,101.86,101.86
Transfered,2022-03-23 10:31:14.000,3Gq9eGcfYcEYW88DAFuREwupxrJdFNCHZn3fbhThzSHY8DuoLGW1uVLmdMDjHDTdnVEZAeswVv3p8ZGb6e719nz3,6D7fgzpPZXtDB6Zqg3xRwfbohzerbytB2U5pFchnVuzw,outbound,USDC,EPjFWdd5AufqSSqeM2qN1xzybapC8G4wEGGkZwyTDt1v,1982.17,1982.12
Transfered,2022-03-23 09:09:51.000,3Eagmp1wtFVaGWwtUQqgsLGuDEibM2YeyYHJ2rojqEzjUnv6T1N3isbq23N1CMTpWeVxWi7RAssE9uHTMAX7dkNw,6D7fgzpPZXtDB6Zqg3xRwfbohzerbytB2U5pFchnVuzw,outbound,USDC,EPjFWdd5AufqSSqeM2qN1xzybapC8G4wEGGkZwyTDt1v,6305.19,6305.01
Transfered,2022-03-23 09:32:45.000,2J7oSejKBJkgQKsuBQkbATNvkQ4SDgdiDKH8nRzomjuD9WSFBWa6UFY3SbpphHcZP3T2hw4DYvMJV6BrubymiCNC,6D7fgzpPZXtDB6Zqg3xRwfbohzerbytB2U5pFchnVuzw,outbound,USDC,EPjFWdd5AufqSSqeM2qN1xzybapC8G4wEGGkZwyTDt1v,503.16,503.15
