TIME_GAP,NARRATION,EVENT,BLOCK_TIMESTAMP,TX_ID,EXPLOITER,ROUTE,SYMBOL,AMOUNT,AMOUNT_USD
0,Exploiter Transfered 744.72USDC to G7yCSB4fF7emXUAprTqDFVoYpsWXYcSG9VqR7jbGXvds worth 744.7USD 0 minutes later,Transfered,2022-03-23 09:15:31.000,2DoSTPf8bjEsyrKnnVTwLi99Cmp72b84989nKd1H7sS9gHSiQyANFxn9tLQz75af714nw2FG9zSKnPK2Cv9Vwxdq,6D7fgzpPZXtDB6Zqg3xRwfbohzerbytB2U5pFchnVuzw,to G7yCSB4fF7emXUAprTqDFVoYpsWXYcSG9VqR7jbGXvds,USDC,744.72,744.7
0,Exploiter Transfered 595.82USDC to 8gzWV6NtEKW99BrLCaLQmSD1YK3k75sG7bABXwsPknNj worth 595.81USD 0 minutes later,Transfered,2022-03-23 09:15:37.000,2jWrGYNrtEkTsotsfWvTBgmeqGoJwsL56N7eekm4VShMXQVH1ZicVp9HqenJzGSs2G5YK6a5GLuCHTfr3N8Q4z7V,6D7fgzpPZXtDB6Zqg3xRwfbohzerbytB2U5pFchnVuzw,to 8gzWV6NtEKW99BrLCaLQmSD1YK3k75sG7bABXwsPknNj,USDC,595.82,595.81
17,Exploiter Transfered 591.37USDC to J2yTnAAF1Fw6PqxRkWRvDdooCgJA9w6xcnk9WNkwj83w worth 591.35USD 17 minutes later,Transfered,2022-03-23 09:32:13.000,3UhWVgN5F2zWbaE53avNyU4Rb2ju977m919eqdY71BomHc8ZtY7jyddvHKBvpovRWe3QUCvmyQYn7w7j1Lp4CSit,6D7fgzpPZXtDB6Zqg3xRwfbohzerbytB2U5pFchnVuzw,to J2yTnAAF1Fw6PqxRkWRvDdooCgJA9w6xcnk9WNkwj83w,USDC,591.37,591.35
0,Exploiter Transfered 583.41USDC to sgrU2Zbzhiho64nK8NpS3jbnFMj6LdWYjHLA39dqfk5 worth 583.39USD 0 minutes later,Transfered,2022-03-23 09:32:22.000,5MqqJBvZMTgMtFfimc7bWMkn7H1U4c8k65kTSFqUDi6uNuet9s4PucbtC3yn4MuK9c1WQuu5amKjbNn1hT8c3LEB,6D7fgzpPZXtDB6Zqg3xRwfbohzerbytB2U5pFchnVuzw,to sgrU2Zbzhiho64nK8NpS3jbnFMj6LdWYjHLA39dqfk5,USDC,583.41,583.39
0,Exploiter Transfered 526.05USDC to 7EnSFFeLc2mEa4dTpoLqohFzbc2qh61uxsSzoNAQ7Lug worth 526.04USD 0 minutes later,Transfered,2022-03-23 09:32:29.000,4iZtYF85zPSDtzhtYvvcZUipEScQwYYuHrncaZ8UA8c1ouW1MsjVSb9LpE3uFb8i4iboTZiz8knT2f5acm2ei8Q2,6D7fgzpPZXtDB6Zqg3xRwfbohzerbytB2U5pFchnVuzw,to 7EnSFFeLc2mEa4dTpoLqohFzbc2qh61uxsSzoNAQ7Lug,USDC,526.05,526.04
0,Exploiter Transfered 503.16USDC to Gw1Hognd9BqAwHFvbcU5Qs3PE8t49Jt9Hn3Rfx8acrE1 worth 503.15USD 0 minutes later,Transfered,2022-03-23 09:32:45.000,2J7oSejKBJkgQKsuBQkbATNvkQ4SDgdiDKH8nRzomjuD9WSFBWa6UFY3SbpphHcZP3T2hw4DYvMJV6BrubymiCNC,6D7fgzpPZXtDB6Zqg3xRwfbohzerbytB2U5pFchnVuzw,to Gw1Hognd9BqAwHFvbcU5Qs3PE8t49Jt9Hn3Rfx8acrE1,USDC,503.16,503.15
1,Exploiter Transfered 480.63USDC to FdAHV3fKp9bq432xEzV5sZXUA6R8sYbGa3HZED7D6fH7 worth 480.62USD 1 minutes later,Transfered,2022-03-23 09:33:01.000,3YFuasduBDEVbGRmCMYKUZUjCzWCg1ukdqm8NrH1mPnpiF35HrcRcY7wwU5xUdVdkzcft73zUsb8oYeN76fAmB6J,6D7fgzpPZXtDB6Zqg3xRwfbohzerbytB2U5pFchnVuzw,to FdAHV3fKp9bq432xEzV5sZXUA6R8sYbGa3HZED7D6fH7,USDC,480.63,480.62
0,Exploiter Transfered 472.63USDC to 9nzGr9jhvFBEJDxMdMN5mhwKJtZbutaPkKb1MccVnL7u worth 472.61USD 0 minutes later,Transfered,2022-03-23 09:33:10.000,2SsiFtoxoid7jUrAYTJRdbHziqapKbamW1GXRZNgyqVfZx2dGy61VJXPDaxANLJz9PWZJNB2ndXmXaUeKRUyNkFa,6D7fgzpPZXtDB6Zqg3xRwfbohzerbytB2U5pFchnVuzw,to 9nzGr9jhvFBEJDxMdMN5mhwKJtZbutaPkKb1MccVnL7u,USDC,472.63,472.61
0,Exploiter Transfered 461.32USDC to 5TsH4sF7U77HAGXSsEsSmVrfnV9UVYfKFeGjqgv1r4SZ worth 461.3USD 0 minutes later,Transfered,2022-03-23 09:33:20.000,5F857LW8BZLVGLUpJicqCXwXDShDzPuBrCyt8imzSpsomPS9Ypdb1iWcAJnvbGDwBstMuMD16WRHGvG8MJVLizp4,6D7fgzpPZXtDB6Zqg3xRwfbohzerbytB2U5pFchnVuzw,to 5TsH4sF7U77HAGXSsEsSmVrfnV9UVYfKFeGjqgv1r4SZ,USDC,461.32,461.3
0,Exploiter Transfered 458.12USDC to 4eps6zidYsdcQ6mw52MTpcKCVXXpCGj4AhK3kBkCMSSa worth 458.11USD 0 minutes later,Transfered,2022-03-23 09:33:27.000,4m8oRev5ZdmkwK6A9TRsVnT2m9rKdAu4i1om2SSkioPySnNd58ryj4jheYYbT84FmqQtYp46N5N4PJuuEXndKAxX,6D7fgzpPZXtDB6Zqg3xRwfbohzerbytB2U5pFchnVuzw,to 4eps6zidYsdcQ6mw52MTpcKCVXXpCGj4AhK3kBkCMSSa,USDC,458.12,458.11
