TIME_GAP,LABELS,NARRATION,BLOCK_TIMESTAMP
0,Hacker_Wallet_1,Exploiter Transfered 1400.01USDT from GLreZN5tEzPFoJVcmjEmzHdAbYcZB41rFPeBNqpckFKH worth 1401.86USD 0 minutes later,2022-08-02 22:48:33.000
0,Hacker_Wallet_1,Exploiter Transfered 116.03SOL from GdqFY8kDBWHQuKadaanfm3Kwgxf5acNmbtYBCeUwLCfE worth 4743.82USD 0 minutes later,2022-08-02 22:48:36.000
0,Hacker_Wallet_1,Exploiter Transfered 80.01MSOL from GdqFY8kDBWHQuKadaanfm3Kwgxf5acNmbtYBCeUwLCfE worth 3457.75USD 0 minutes later,2022-08-02 22:48:36.000
0,Hacker_Wallet_1,Exploiter Transfered 4169.41USDC from 93yTGmMejLaz9F98UtwWbwom4Do1RD698LHXwdv1AKWS worth 4172.17USD 0 minutes later,2022-08-02 22:48:37.000
0,Hacker_Wallet_1,Exploiter Transfered 22328.38KI from 93yTGmMejLaz9F98UtwWbwom4Do1RD698LHXwdv1AKWS worth 3467.39USD 0 minutes later,2022-08-02 22:48:39.000
0,Hacker_Wallet_2,Exploiter Transfered 997.73USDT from 7yiwQugjyGcfgqEVzATrcmfh4ywnttWLFKPdrofrLDCN worth 999.05USD 0 minutes later,2022-08-02 22:48:40.000
0,Hacker_Wallet_1,Exploiter Transfered 5.8SOL from C9fdVhcrNVnmqigJQKAcYxoG67BVo743ihWfusjryJsU worth 237.1USD 0 minutes later,2022-08-02 22:48:41.000
0,Hacker_Wallet_2,Exploiter Transfered 6.08SOL from 7yiwQugjyGcfgqEVzATrcmfh4ywnttWLFKPdrofrLDCN worth 248.56USD 0 minutes later,2022-08-02 22:48:41.000
0,Hacker_Wallet_2,Exploiter Transfered 1000001WOOF from 7yiwQugjyGcfgqEVzATrcmfh4ywnttWLFKPdrofrLDCN worth 117.01USD 0 minutes later,2022-08-02 22:48:43.000
0,Hacker_Wallet_1,Exploiter Transfered 5104.71USDC from C8Wbj3G5AVsEphrS1bLBCJUFwHQQC2i6y1WYyQjWTBm9 worth 5108.1USD 0 minutes later,2022-08-02 22:48:44.000
0,Hacker_Wallet_2,Exploiter Transfered 10000SAMO from 7yiwQugjyGcfgqEVzATrcmfh4ywnttWLFKPdrofrLDCN worth 130.85USD 0 minutes later,2022-08-02 22:48:44.000
