DATE1,TIMEFRAME,LOW,HIGH,OPEN,CLOSE
2024-02-08 00:00:00.000,After_hack,0.0128199918,0.01344410233,0.0128199918,0.01301475706
2024-02-07 00:00:00.000,After_hack,0.01187971574,0.01290592246,0.01189954918,0.01279528359
2024-02-06 00:00:00.000,After_hack,0.0116975158,0.01268715836,0.01268715836,0.01194908639
2024-02-05 00:00:00.000,After_hack,0.01259075886,0.01327389099,0.01327389099,0.01264198709
2024-02-04 00:00:00.000,After_hack,0.01292911447,0.01320872034,0.01309736303,0.01318404571
2024-02-03 00:00:00.000,After_hack,0.0130566994,0.01374473161,0.01355591545,0.0130566994
2024-02-02 00:00:00.000,After_hack,0.01244576178,0.01370387603,0.01279199863,0.01360736775
2024-02-01 00:00:00.000,After_hack,0.01270434154,0.01359552076,0.01348626647,0.01280684888
2024-01-31 00:00:00.000,After_hack,0.01331877066,0.01444351838,0.01400586754,0.01361365912
2024-01-30 00:00:00.000,After_hack,0.01352214792,0.01440462113,0.01363175583,0.01400017878
2024-01-29 00:00:00.000,After_hack,0.01432794888,0.01472486533,0.01459402677,0.01444701415
2024-01-28 00:00:00.000,After_hack,0.0143408329,0.01495526636,0.01443558869,0.01451108824
2024-01-27 00:00:00.000,After_hack,0.01338553954,0.01492512304,0.01415017972,0.0143418645
2024-01-26 00:00:00.000,After_hack,0.01353243148,0.0152783497,0.01518392434,0.01407584092
2024-01-25 00:00:00.000,After_hack,0.0151252328,0.01558191912,0.01550213586,0.01516469468
2024-01-24 00:00:00.000,After_hack,0.01524468479,0.01580753882,0.01524468479,0.0155194276
2024-01-23 00:00:00.000,After_hack,0.01483879606,0.01638778409,0.01638778409,0.01529224361
2024-01-22 00:00:00.000,After_hack,0.01639294511,0.01715980722,0.01715980722,0.01639294511
2024-01-21 00:00:00.000,After_hack,0.01720591746,0.01852278276,0.01721547345,0.01848529205
2024-01-20 00:00:00.000,After_hack,0.01625722583,0.01802440785,0.01712316645,0.0171373959
2024-01-19 00:00:00.000,After_hack,0.01595722182,0.01680653635,0.0162113784,0.01648078797
2024-01-18 00:00:00.000,After_hack,0.01586278881,0.01836932885,0.01793168856,0.01619299244
2024-01-17 00:00:00.000,After_hack,0.01742161051,0.01800142368,0.01755796836,0.01800142368
2024-01-16 00:00:00.000,After_hack,0.01726116328,0.01807919053,0.01726116328,0.01750188855
2024-01-15 00:00:00.000,After_hack,0.01726440777,0.01833543107,0.01776174838,0.01737845426
2024-01-14 00:00:00.000,After_hack,0.01762094708,0.01834801973,0.01770528684,0.01834801973
2024-01-13 00:00:00.000,After_hack,0.0174637779,0.01849304702,0.01823198408,0.01767523352
2024-01-12 00:00:00.000,After_hack,0.01792196678,0.01870867614,0.01792196678,0.01863206619
2024-01-11 00:00:00.000,After_hack,0.01754594927,0.01877248913,0.01767522603,0.01789144398
2024-01-10 00:00:00.000,After_hack,0.01746804828,0.01775287462,0.01746804828,0.01767540107
