TIME_GAP,NARRATION,EVENT,BLOCK_TIMESTAMP,TX_ID,EXPLOITER,ROUTE,SYMBOL,AMOUNT,AMOUNT_USD
0,Exploiter Transfered 5768MNGO from BFkxdUwW17eANhfs1xNmBqEcegb4EStQxVb5VaMS2dq6 worth 227.47USD 0 minutes later,Transfered,2022-10-11 22:43:32.000,eJt1Szx1XyxbFsBYc4HWG1hXDMeXkmWVFYQr5KYCH4Zf5mrhNh2RXqfS97LDLe7r2a2m7VBo44GhrAGcBai6GXo,CQvKSNnYtPTZfQRQ5jkHq8q2swJyRsdQLcFcj3EmKFfX,from BFkxdUwW17eANhfs1xNmBqEcegb4EStQxVb5VaMS2dq6,MNGO,5768,227.47
0,Exploiter Transfered 50000USDC to 5Q544fKrFoe6tsEbD7S8EmxGTJYAKtTVhAW5Q5pge4j1 worth 50019.42USD 0 minutes later,Transfered,2022-10-11 22:44:14.000,5cLHTmJtA4pPCGbDqYMhSjqPFFMtvnXgNBym2FzuhvS4UY8tbjJzxGQqJrVDJAy6nSTEGxGy8bJbZmwp6MKu3pvZ,CQvKSNnYtPTZfQRQ5jkHq8q2swJyRsdQLcFcj3EmKFfX,to 5Q544fKrFoe6tsEbD7S8EmxGTJYAKtTVhAW5Q5pge4j1,USDC,50000,50019.42
0,Exploiter Transfered 120074.54MNGO from 5Q544fKrFoe6tsEbD7S8EmxGTJYAKtTVhAW5Q5pge4j1 worth 4735.23USD 0 minutes later,Transfered,2022-10-11 22:44:14.000,5cLHTmJtA4pPCGbDqYMhSjqPFFMtvnXgNBym2FzuhvS4UY8tbjJzxGQqJrVDJAy6nSTEGxGy8bJbZmwp6MKu3pvZ,CQvKSNnYtPTZfQRQ5jkHq8q2swJyRsdQLcFcj3EmKFfX,from 5Q544fKrFoe6tsEbD7S8EmxGTJYAKtTVhAW5Q5pge4j1,MNGO,120074.54,4735.23
1,Exploiter Swapped 50000USDC to 120074.53793MNGO worth 50018.03USD 1 minutes later,Swapped,2022-10-11 22:44:14.000,5cLHTmJtA4pPCGbDqYMhSjqPFFMtvnXgNBym2FzuhvS4UY8tbjJzxGQqJrVDJAy6nSTEGxGy8bJbZmwp6MKu3pvZ,yUJw9a2PyoqKkH47i4yEGf4WXomSHMiK7Lp29Xs2NqM,to 120074.53793MNGO,USDC,50000,50018.03
1,Exploiter Transfered 2354260SRM from 9BVcYqEQxyccuwznvxXqDkSJFavvTyheiTYk231T1A8S worth 1755742.39USD 1 minutes later,Transfered,2022-10-11 22:45:01.000,3pKxGYiLwoddfn5xxLYDSF7d99YVjyUKBMFw4Y3XPaY7MHgHLqx5SPHMnbGZMDPLGHJP9BR1qfLXm8uvHLSBqA6f,CQvKSNnYtPTZfQRQ5jkHq8q2swJyRsdQLcFcj3EmKFfX,from 9BVcYqEQxyccuwznvxXqDkSJFavvTyheiTYk231T1A8S,SRM,2354260,1755742.39
0,Exploiter Transfered 32409565.06MNGO from 9BVcYqEQxyccuwznvxXqDkSJFavvTyheiTYk231T1A8S worth 1278096.85USD 0 minutes later,Transfered,2022-10-11 22:45:16.000,Pd9NTjZaFPPzP7HskHq5QnrfxRGhSAvtusDgyn3JdV6aQLMynCrci3wKMf2aA36gVx8yLA17rbQ2hcQ7KmG48Gw,CQvKSNnYtPTZfQRQ5jkHq8q2swJyRsdQLcFcj3EmKFfX,from 9BVcYqEQxyccuwznvxXqDkSJFavvTyheiTYk231T1A8S,MNGO,32409565.06,1278096.85
4,Exploiter Transfered 10000000MNGO to BFkxdUwW17eANhfs1xNmBqEcegb4EStQxVb5VaMS2dq6 worth 394357.91USD 4 minutes later,Transfered,2022-10-11 22:49:03.000,3Ya9VHv7LUyoUQFSP8FMvGQYacgRxW3sr3r6Nqwkz9q8Fgpdt7X9dbXtdF3CMAtkFtJuRD323KHySamkFK8RohNR,CQvKSNnYtPTZfQRQ5jkHq8q2swJyRsdQLcFcj3EmKFfX,to BFkxdUwW17eANhfs1xNmBqEcegb4EStQxVb5VaMS2dq6,MNGO,10000000,394357.91
0,Exploiter Transfered 362660.87USDC from BFkxdUwW17eANhfs1xNmBqEcegb4EStQxVb5VaMS2dq6 worth 362801.72USD 0 minutes later,Transfered,2022-10-11 22:49:03.000,3Ya9VHv7LUyoUQFSP8FMvGQYacgRxW3sr3r6Nqwkz9q8Fgpdt7X9dbXtdF3CMAtkFtJuRD323KHySamkFK8RohNR,CQvKSNnYtPTZfQRQ5jkHq8q2swJyRsdQLcFcj3EmKFfX,from BFkxdUwW17eANhfs1xNmBqEcegb4EStQxVb5VaMS2dq6,USDC,362660.87,362801.72
0,Exploiter Transfered 0MNGO from BFkxdUwW17eANhfs1xNmBqEcegb4EStQxVb5VaMS2dq6 worth 0USD 0 minutes later,Transfered,2022-10-11 22:49:03.000,3Ya9VHv7LUyoUQFSP8FMvGQYacgRxW3sr3r6Nqwkz9q8Fgpdt7X9dbXtdF3CMAtkFtJuRD323KHySamkFK8RohNR,CQvKSNnYtPTZfQRQ5jkHq8q2swJyRsdQLcFcj3EmKFfX,from BFkxdUwW17eANhfs1xNmBqEcegb4EStQxVb5VaMS2dq6,MNGO,0,0
0,Exploiter Transfered 26418.08USDC from 5Q544fKrFoe6tsEbD7S8EmxGTJYAKtTVhAW5Q5pge4j1 worth 26428.34USD 0 minutes later,Transfered,2022-10-11 22:49:14.000,3pP3rKQG4isNs4ctjs7CDon9a8EK6xHQAp4gMJt9tVvUsbG3r4hSsF3X773gJiFTcJdU149hUpSdwqjPUUHWSPJb,CQvKSNnYtPTZfQRQ5jkHq8q2swJyRsdQLcFcj3EmKFfX,from 5Q544fKrFoe6tsEbD7S8EmxGTJYAKtTVhAW5Q5pge4j1,USDC,26418.08,26428.34
