TIME_GAP,NARRATION,EVENT,BLOCK_TIMESTAMP,TX_ID,EXPLOITER,ROUTE,SYMBOL,AMOUNT,AMOUNT_USD
0,Exploiter Transfered 110000USDC to 3m15qNJDM5zydsYNJzkFYXE7iGCVnkKz1mrmbawrDUAH worth 110061.87USD 0 days later,Transfered,2023-01-24 00:32:21.000,3Wa2K7vH3AbzrsbmRgFDW7KW32VBNUFgr8o2GPeW9nimHChPUo6A5LRMzrhgbJ9TQXWVsobZbs4BFrLwDESQ6HfE,CxegPrfn2ge5dNiQberUrQJkHCcimeR4VXkeawcFBBka,to 3m15qNJDM5zydsYNJzkFYXE7iGCVnkKz1mrmbawrDUAH,USDC,110000,110061.87
0,Exploiter Transfered 21.16ETH from G6bwK22tQZwv6zfQXNehuA4rFJRVNxqZW2dr7MGGSfSN worth 34289.25USD 0 days later,Transfered,2023-01-24 00:32:36.000,2r9sSjzWcnniDQmpUprHUxaRSeGwaELh9DMwi9xirsW1U1AZmyqK1L9QELqQYerXfyQW4kiE3PCoBbLUV1CYt1FL,CxegPrfn2ge5dNiQberUrQJkHCcimeR4VXkeawcFBBka,from G6bwK22tQZwv6zfQXNehuA4rFJRVNxqZW2dr7MGGSfSN,ETH,21.16,34289.25
0,Exploiter Transfered 0.15USDC from G6bwK22tQZwv6zfQXNehuA4rFJRVNxqZW2dr7MGGSfSN worth 0.15USD 0 days later,Transfered,2023-01-24 00:32:36.000,2r9sSjzWcnniDQmpUprHUxaRSeGwaELh9DMwi9xirsW1U1AZmyqK1L9QELqQYerXfyQW4kiE3PCoBbLUV1CYt1FL,CxegPrfn2ge5dNiQberUrQJkHCcimeR4VXkeawcFBBka,from G6bwK22tQZwv6zfQXNehuA4rFJRVNxqZW2dr7MGGSfSN,USDC,0.15,0.15
0,Exploiter Transfered 35000USDC to G6bwK22tQZwv6zfQXNehuA4rFJRVNxqZW2dr7MGGSfSN worth 35019.69USD 0 days later,Transfered,2023-01-24 00:32:36.000,2r9sSjzWcnniDQmpUprHUxaRSeGwaELh9DMwi9xirsW1U1AZmyqK1L9QELqQYerXfyQW4kiE3PCoBbLUV1CYt1FL,CxegPrfn2ge5dNiQberUrQJkHCcimeR4VXkeawcFBBka,to G6bwK22tQZwv6zfQXNehuA4rFJRVNxqZW2dr7MGGSfSN,USDC,35000,35019.69
0,Exploiter Transfered 100245.86USDTET to AuZrspySopxfZUiXY6YxDyfS211KvXLe197kj3M2cLpq worth 100409.67USD 0 days later,Transfered,2023-01-24 00:33:28.000,2LsJLFRopsAWRHUNEYyz2JASLzCPQfs3fytossKW9XhPqRpynzoHmo8WV1V1PRyrjcy7VXDrQMFb9fX9Xjhso827,CxegPrfn2ge5dNiQberUrQJkHCcimeR4VXkeawcFBBka,to AuZrspySopxfZUiXY6YxDyfS211KvXLe197kj3M2cLpq,USDTET,100245.86,100409.67
0,Exploiter Transfered 92958.13USDCET to AuZrspySopxfZUiXY6YxDyfS211KvXLe197kj3M2cLpq worth 93984.87USD 0 days later,Transfered,2023-01-24 00:33:41.000,xmkb1DXVpHsthUUBymqaDUuBw4K3UJL76wTAYu2ntFpwKueoCmTQJPLWTURooy31ifqrGMoJYApRMmemQSX2env,CxegPrfn2ge5dNiQberUrQJkHCcimeR4VXkeawcFBBka,to AuZrspySopxfZUiXY6YxDyfS211KvXLe197kj3M2cLpq,USDCET,92958.13,93984.87
0,Exploiter Transfered 21.16ETH to AuZrspySopxfZUiXY6YxDyfS211KvXLe197kj3M2cLpq worth 34289.25USD 0 days later,Transfered,2023-01-24 00:33:54.000,jXJ9LCGAhG67RicNVJPnmBnAHoBsJyvjguXrxK8UHEduBqFDTGxcZLYhKjt4fnUuGUXZmD2csWct5in1aaCWh2N,CxegPrfn2ge5dNiQberUrQJkHCcimeR4VXkeawcFBBka,to AuZrspySopxfZUiXY6YxDyfS211KvXLe197kj3M2cLpq,ETH,21.16,34289.25
0,Exploiter Transfered 2000SOL to CTz5UMLQm2SRWHzQnU62Pi4yJqbNGjgRBHqqp6oDHfF7 worth 49032.66USD 0 days later,Transfered,2023-01-24 00:36:34.000,wwVYm5RejmEm2o5AUgNATkFAU7x67xnB6fLKNJGSnUkCa43MbQqKFwNaSm14Qqpr7NFcMmb9st1gy9pYxqitbsh,CxegPrfn2ge5dNiQberUrQJkHCcimeR4VXkeawcFBBka,to CTz5UMLQm2SRWHzQnU62Pi4yJqbNGjgRBHqqp6oDHfF7,SOL,2000,49032.66
0,Exploiter Transfered 48552.97USDC from CTz5UMLQm2SRWHzQnU62Pi4yJqbNGjgRBHqqp6oDHfF7 worth 48580.28USD 0 days later,Transfered,2023-01-24 00:36:34.000,wwVYm5RejmEm2o5AUgNATkFAU7x67xnB6fLKNJGSnUkCa43MbQqKFwNaSm14Qqpr7NFcMmb9st1gy9pYxqitbsh,CxegPrfn2ge5dNiQberUrQJkHCcimeR4VXkeawcFBBka,from CTz5UMLQm2SRWHzQnU62Pi4yJqbNGjgRBHqqp6oDHfF7,USDC,48552.97,48580.28
0,Exploiter Transfered 48552.97USDC to 3m15qNJDM5zydsYNJzkFYXE7iGCVnkKz1mrmbawrDUAH worth 48580.28USD 0 days later,Transfered,2023-01-24 00:36:34.000,wwVYm5RejmEm2o5AUgNATkFAU7x67xnB6fLKNJGSnUkCa43MbQqKFwNaSm14Qqpr7NFcMmb9st1gy9pYxqitbsh,CxegPrfn2ge5dNiQberUrQJkHCcimeR4VXkeawcFBBka,to 3m15qNJDM5zydsYNJzkFYXE7iGCVnkKz1mrmbawrDUAH,USDC,48552.97,48580.28
0,Exploiter Transfered 45276.03USDCET from 3m15qNJDM5zydsYNJzkFYXE7iGCVnkKz1mrmbawrDUAH worth 45776.11USD 0 days later,Transfered,2023-01-24 00:36:34.000,wwVYm5RejmEm2o5AUgNATkFAU7x67xnB6fLKNJGSnUkCa43MbQqKFwNaSm14Qqpr7NFcMmb9st1gy9pYxqitbsh,CxegPrfn2ge5dNiQberUrQJkHCcimeR4VXkeawcFBBka,from 3m15qNJDM5zydsYNJzkFYXE7iGCVnkKz1mrmbawrDUAH,USDCET,45276.03,45776.11
0,Exploiter Transfered 45276.03USDCET to AuZrspySopxfZUiXY6YxDyfS211KvXLe197kj3M2cLpq worth 45776.11USD 0 days later,Transfered,2023-01-24 00:38:30.000,4WD2FoP8mimqZhZ1FQwVYvS2cEbasm4uXbqXiMQcnGjWPA16LPwvSzH1smdmzEwTYupLBMSpDV3ys8jFrq1aAFPV,CxegPrfn2ge5dNiQberUrQJkHCcimeR4VXkeawcFBBka,to AuZrspySopxfZUiXY6YxDyfS211KvXLe197kj3M2cLpq,USDCET,45276.03,45776.11
17,Exploiter Transfered 213.58USDT to EAUwikTgqeHKJMaqDj17Cwb6TH3XzcXbxHSN7etGzMFt worth 213.74USD 17 days later,Transfered,2023-02-10 17:26:38.000,49atzXhW4gv78LC5Jdsd7QpyvteLiQoKR6Da9FvRFiwRHKtG5ZrRTUK9LMRd5dctRyU1xnJ8UVL1S7vRpSL9mTwW,CxegPrfn2ge5dNiQberUrQJkHCcimeR4VXkeawcFBBka,to EAUwikTgqeHKJMaqDj17Cwb6TH3XzcXbxHSN7etGzMFt,USDT,213.58,213.74
﻿
