EVENT,BLOCK_TIMESTAMP,TX_ID,SENDER,ROUTE,SYMBOL,AMOUNT,AMOUNT_USD
Transfered,2023-01-14 18:24:40.000,66fJuvD45GRgPHHNiQ7QA84FtePudB9PfT4huE2cbxj7SaL4QYJcspXfocfKouHmkJqQ55fU36aZ7EfHSk9exdNG,CxegPrfn2ge5dNiQberUrQJkHCcimeR4VXkeawcFBBka,inbound,USDCET,1253129.21,1253508.62
Transfered,2023-01-14 18:36:03.000,gxfrGv1DYf7Nga3jAtzap2yyp4xHWtJsvNdbCkvapyTq3wjxguqexgbzNQPEw4wQFJheNzkCdkcvbNgP47XBeJ5,CxegPrfn2ge5dNiQberUrQJkHCcimeR4VXkeawcFBBka,outbound,USDCET,2683305.11,2684117.54
Transfered,2023-01-14 18:24:02.000,4H5jBWHqXb1LykLMRcgn5o5JG46k8ZR8ixAq9USeycLvqN1PbHBoTCCM3eEntxHKR8HeMgjyKkoGKmiHQjmmG59N,CxegPrfn2ge5dNiQberUrQJkHCcimeR4VXkeawcFBBka,inbound,USDCET,1430175.91,1430608.92
Transfered,2023-01-24 00:23:34.000,5HKyoRs73VRgJVpJUvRj22rpQMp3mqtcd9WeGWkZWBqkDqHc83SjLzviuaYUSth9BFMaTzBVXhKeSSenXrHYNjxx,CxegPrfn2ge5dNiQberUrQJkHCcimeR4VXkeawcFBBka,outbound,USDC,180000,180101.25
Transfered,2023-01-24 00:24:19.000,627M3chzFe8JjLiZ4a6KrcHuZXKXKkzhQsYJWgVSBtE48nfaRdrpbiC2qWXk7q7VCwqXbBfxmUE8nBhrQcqkcWjF,CxegPrfn2ge5dNiQberUrQJkHCcimeR4VXkeawcFBBka,outbound,USDC,60000,60033.75
Transfered,2023-01-24 00:17:03.000,HUa6QUB6Jh1ChwTxxkAmMXMY6aWnQWjc8WZR5JKwwj9Ai9iMaVuYptLNy4D7mELedpJQHrjs9EXQieWQdTkPAbv,CxegPrfn2ge5dNiQberUrQJkHCcimeR4VXkeawcFBBka,outbound,USDC,110000,110061.87
Transfered,2023-01-24 00:26:26.000,3PrpLqHqz4qwSWR44wVTamitQad46MEsU4NDfgFayfry5XYYgRc2W8b66fL7JTzysbozu3kZhmaSMqdLkg6vLXhV,CxegPrfn2ge5dNiQberUrQJkHCcimeR4VXkeawcFBBka,outbound,USDC,70000,70039.37
Transfered,2023-01-24 00:32:36.000,2r9sSjzWcnniDQmpUprHUxaRSeGwaELh9DMwi9xirsW1U1AZmyqK1L9QELqQYerXfyQW4kiE3PCoBbLUV1CYt1FL,CxegPrfn2ge5dNiQberUrQJkHCcimeR4VXkeawcFBBka,inbound,USDC,0.15,0.15
Transfered,2023-01-24 00:36:34.000,wwVYm5RejmEm2o5AUgNATkFAU7x67xnB6fLKNJGSnUkCa43MbQqKFwNaSm14Qqpr7NFcMmb9st1gy9pYxqitbsh,CxegPrfn2ge5dNiQberUrQJkHCcimeR4VXkeawcFBBka,inbound,USDC,48552.97,48580.28
Transfered,2023-01-24 00:15:49.000,67KNcq2Q4r5dxGnPxYKyGriWMoxRwEyrZeHYnDz8MzREqcv2sMad9PtkxoS5RjtxgjJHcvd8ihtjMw9YhpDYcyRL,CxegPrfn2ge5dNiQberUrQJkHCcimeR4VXkeawcFBBka,outbound,USDC,399000,399224.43
Transfered,2023-01-24 00:15:49.000,67KNcq2Q4r5dxGnPxYKyGriWMoxRwEyrZeHYnDz8MzREqcv2sMad9PtkxoS5RjtxgjJHcvd8ihtjMw9YhpDYcyRL,CxegPrfn2ge5dNiQberUrQJkHCcimeR4VXkeawcFBBka,outbound,USDC,21000,21011.81
Transfered,2023-01-24 00:31:30.000,Tf9jp8ohJoMpoDX5i2uUYGdgoj1QA6nyg2ErxLzp4jxswQHByMdAGEuX8KUDpGF8Hbgv3XGEgnbKtNrkgbBSKoB,CxegPrfn2ge5dNiQberUrQJkHCcimeR4VXkeawcFBBka,outbound,USDC,100651.45,100708.07
Transfered,2023-01-24 00:27:23.000,QstCTfMxZFMyYNLShttVkkeqRRYVo3hqY6khL18v8GC6xq1BYzuqkHtpmorerDjGyZxJbwM7PpXsNV2ZNESQiHU,CxegPrfn2ge5dNiQberUrQJkHCcimeR4VXkeawcFBBka,outbound,USDC,70000,70039.37
Transfered,2023-01-24 00:20:16.000,wgk1fksS9dCPLaYUJ7FxSgXyz8zamPPQZR8YRsG3PscBwFGLARvGkdbpTuapLB2cE4U2E4YaNGPbdTFgpfLGYmh,CxegPrfn2ge5dNiQberUrQJkHCcimeR4VXkeawcFBBka,outbound,USDC,110000,110061.87
Transfered,2023-01-24 00:32:21.000,3Wa2K7vH3AbzrsbmRgFDW7KW32VBNUFgr8o2GPeW9nimHChPUo6A5LRMzrhgbJ9TQXWVsobZbs4BFrLwDESQ6HfE,CxegPrfn2ge5dNiQberUrQJkHCcimeR4VXkeawcFBBka,outbound,USDC,110000,110061.87
Transfered,2023-01-24 00:32:36.000,2r9sSjzWcnniDQmpUprHUxaRSeGwaELh9DMwi9xirsW1U1AZmyqK1L9QELqQYerXfyQW4kiE3PCoBbLUV1CYt1FL,CxegPrfn2ge5dNiQberUrQJkHCcimeR4VXkeawcFBBka,outbound,USDC,35000,35019.69
Transfered,2023-01-24 00:36:34.000,wwVYm5RejmEm2o5AUgNATkFAU7x67xnB6fLKNJGSnUkCa43MbQqKFwNaSm14Qqpr7NFcMmb9st1gy9pYxqitbsh,CxegPrfn2ge5dNiQberUrQJkHCcimeR4VXkeawcFBBka,outbound,USDC,48552.97,48580.28
Transfered,2023-01-24 00:24:48.000,3ys9hmZbSeV3kD2sWVSAGfnCZxLexBZxPxXhSBNkWahRZGn76ud1w55SVMhmUpHsdT39hsUfHGCy8JtZwnepUqyH,CxegPrfn2ge5dNiQberUrQJkHCcimeR4VXkeawcFBBka,outbound,USDC,70000,70039.37
Transfered,2023-01-24 00:20:16.000,wgk1fksS9dCPLaYUJ7FxSgXyz8zamPPQZR8YRsG3PscBwFGLARvGkdbpTuapLB2cE4U2E4YaNGPbdTFgpfLGYmh,CxegPrfn2ge5dNiQberUrQJkHCcimeR4VXkeawcFBBka,inbound,USDC,0.06,0.06
Transfered,2023-01-24 00:19:36.000,ri26Qb5eQFnVmHe6EcMDedAxmT3nPbPXxbBmrcsBgFXYb9v3ggu2MMf1wcDdG4oSJcn5aMdHnsxomFcXchbM7KS,CxegPrfn2ge5dNiQberUrQJkHCcimeR4VXkeawcFBBka,outbound,USDC,110000,110061.87
Transfered,2023-01-14 18:22:48.000,3yjC3moRiXevRAxwUxa1FeG35sP7jyEAmcQhxgdN32RmWW5mVjaZdHaE1pJMoD6ZiWGZeeNN8sa56tKK9zSEuF27,CxegPrfn2ge5dNiQberUrQJkHCcimeR4VXkeawcFBBka,inbound,USDT,1266373.15,1267069.41
Transfered,2023-01-14 18:24:40.000,66fJuvD45GRgPHHNiQ7QA84FtePudB9PfT4huE2cbxj7SaL4QYJcspXfocfKouHmkJqQ55fU36aZ7EfHSk9exdNG,CxegPrfn2ge5dNiQberUrQJkHCcimeR4VXkeawcFBBka,outbound,USDT,1266373.15,1267069.41
Transfered,2023-01-14 18:13:00.000,z8jL5wcSKhLiDTKXiGPn5zvJ49X4erfWdxscoPQsZcgHkkC43MZJZdBhs9YN17hi2yuQH4nztXJgson7g464CYA,CxegPrfn2ge5dNiQberUrQJkHCcimeR4VXkeawcFBBka,outbound,SOL,150000,3321499.52
Transfered,2023-01-23 20:32:11.000,7gaYEoVAEy1KgBuwU8hkNNecbPmuS34b4bLEar13ZZT9E4Gbt8CVrzne53D1kpthnM9fzoqNaN8YRVzwVLu6XXc,CxegPrfn2ge5dNiQberUrQJkHCcimeR4VXkeawcFBBka,outbound,STSOL,755.83,19950.95
Transfered,2023-01-23 20:32:11.000,7gaYEoVAEy1KgBuwU8hkNNecbPmuS34b4bLEar13ZZT9E4Gbt8CVrzne53D1kpthnM9fzoqNaN8YRVzwVLu6XXc,CxegPrfn2ge5dNiQberUrQJkHCcimeR4VXkeawcFBBka,inbound,STSOL,755.83,19950.95
Transfered,2023-01-23 20:41:05.000,3gT5VW9Y5kyG2mNQEP39ZhCPbv6aW22GWbtpnD5ydDjT8n2TmpUvpkUgNdZhd72L88hXJHCcxfEcmvH7KaeFq9Yi,CxegPrfn2ge5dNiQberUrQJkHCcimeR4VXkeawcFBBka,outbound,STSOL,379.12,10007.2
